code,name,districtCode
781,Phường Hòa Chung,43
782,Phường Duyệt Trung,43
783,Xã Vĩnh Quang,43
784,Xã Hưng Đạo,43
785,Xã Chu Trinh,43
786,Thị trấn Pác Miầu,44
787,Xã Đức Hạnh,44
788,Xã Lý Bôn,44
789,Xã Nam Cao,44
790,Xã Nam Quang,44
791,Xã Vĩnh Quang,44
792,Xã Quảng Lâm,44
793,Xã Thạch Lâm,44
794,Xã Vĩnh Phong,44
795,Xã Mông Ân,44
796,Xã Thái Học,44
797,Xã Thái Sơn,44
798,Xã Yên Thổ,44
799,Thị trấn Bảo Lạc,45
800,Xã Cốc Pàng,45
801,Xã Thượng Hà,45
802,Xã Cô Ba,45
803,Xã Bảo Toàn,45
804,Xã Khánh Xuân,45
805,Xã Xuân Trường,45
806,Xã Hồng Trị,45
807,Xã Kim Cúc,45
808,Xã Phan Thanh,45
809,Xã Hồng An,45
810,Xã Hưng Đạo,45
811,Xã Hưng Thịnh,45
812,Xã Huy Giáp,45
813,Xã Đình Phùng,45
814,Xã Sơn Lập,45
815,Xã Sơn Lộ,45
816,Thị trấn Thông Nông,46
817,Xã Cần Yên,46
818,Xã Cần Nông,46
819,Xã Lương Thông,46
820,Xã Đa Thông,46
821,Xã Ngọc Động,46
822,Xã Yên Sơn,46
823,Xã Lương Can,46
824,Xã Thanh Long,46
825,Thị trấn Xuân Hòa,46
826,Xã Lũng Nặm,46
827,Xã Trường Hà,46
828,Xã Cải Viên,46
829,Xã Nội Thôn,46
830,Xã Tổng Cọt,46
831,Xã Sóc Hà,46
832,Xã Thượng Thôn,46
833,Xã Hồng Sỹ,46
834,Xã Quý Quân,46
835,Xã Mã Ba,46
836,Xã Ngọc Đào,46
837,Thị trấn Trà Lĩnh,47
838,Xã Tri Phương,47
839,Xã Quang Hán,47
840,Xã Xuân Nội,47
841,Xã Quang Trung,47
842,Xã Quang Vinh,47
843,Xã Cao Chương,47
844,Thị trấn Trùng Khánh,47
845,Xã Ngọc Khê,47
846,Xã Ngọc Côn,47
847,Xã Phong Nậm,47
848,Xã Đình Phong,47
849,Xã Đàm Thủy,47
850,Xã Khâm Thành,47
851,Xã Chí Viễn,47
852,Xã Lăng Hiếu,47
853,Xã Phong Châu,47
854,Xã Trung Phúc,47
855,Xã Cao Thăng,47
856,Xã Đức Hồng,47
857,Xã Đoài Dương,47
858,Xã Minh Long,48
859,Xã Lý Quốc,48
860,Xã Thắng Lợi,48
861,Xã Đồng Loan,48
862,Xã Đức Quang,48
863,Xã Kim Loan,48
864,Xã Quang Long,48
865,Xã An Lạc,48
866,Thị trấn Thanh Nhật,48
867,Xã Vinh Quý,48
868,Xã Thống Nhất,48
869,Xã Cô Ngân,48
870,Xã Thị Hoa,48
871,Xã Quốc Toản,49
872,Thị trấn Quảng Uyên,49
873,Xã Phi Hải,49
874,Xã Quảng Hưng,49
875,Xã Độc Lập,49
876,Xã Cai Bộ,49
877,Xã Phúc Sen,49
878,Xã Chí Thảo,49
879,Xã Tự Do,49
880,Xã Hồng Quang,49
881,Xã Ngọc Động,49
882,Xã Hạnh Phúc,49
883,Thị trấn Tà Lùng,49
884,Xã Bế Văn Đàn,49
885,Xã Cách Linh,49
886,Xã Đại Sơn,49
887,Xã Tiên Thành,49
888,Thị trấn Hòa Thuận,49
889,Xã Mỹ Hưng,49
890,Thị trấn Nước Hai,50
891,Xã Dân Chủ,50
892,Xã Nam Tuấn,50
893,Xã Đại Tiến,50
894,Xã Đức Long,50
895,Xã Ngũ Lão,50
896,Xã Trương Lương,50
897,Xã Hồng Việt,50
898,Xã Hoàng Tung,50
899,Xã Nguyễn Huệ,50
900,Xã Quang Trung,50
