code,name,provinceCode
428,Huyện Thuận Bắc,51
429,Huyện Thuận Nam,51
430,Thành phố Phan Thiết,52
431,Thị xã La Gi,52
432,Huyện Tuy Phong,52
433,Huyện Bắc Bình,52
434,Huyện Hàm Thuận Bắc,52
435,Huyện Hàm Thuận Nam,52
436,Huyện Tánh Linh,52
437,Huyện Đức Linh,52
438,Huyện Hàm Tân,52
439,Huyện Phú Quý,52
440,Thành phố Kon Tum,53
441,Huyện Đắk Glei,53
442,Huyện Ngọc Hồi,53
443,Huyện Đắk Tô,53
444,Huyện Kon Plông,53
445,Huyện Kon Rẫy,53
446,Huyện Đắk Hà,53
447,Huyện Sa Thầy,53
448,Huyện Tu Mơ Rông,53
449,Huyện Ia H' Drai,53
450,Thành phố Pleiku,54
451,Thị xã An Khê,54
452,Thị xã Ayun Pa,54
453,Huyện KBang,54
454,Huyện Đăk Đoa,54
455,Huyện Chư Păh,54
456,Huyện Ia Grai,54
457,Huyện Mang Yang,54
458,Huyện Kông Chro,54
459,Huyện Đức Cơ,54
460,Huyện Chư Prông,54
461,Huyện Chư Sê,54
462,Huyện Đăk Pơ,54
463,Huyện Ia Pa,54
464,Huyện Krông Pa,54
465,Huyện Phú Thiện,54
466,Huyện Chư Pưh,54
467,Thành phố Buôn Ma Thuột,55
468,Thị Xã Buôn Hồ,55
469,Huyện Ea H'leo,55
470,Huyện Ea Súp,55
471,Huyện Buôn Đôn,55
472,Huyện Cư M'Gar,55
473,Huyện Krông Búk,55
474,Huyện Krông Năng,55
475,Huyện Ea Kar,55
476,Huyện M'Đrắk,55
477,Huyện Krông Bông,55
478,Huyện Krông Pắc,55
479,Huyện Krông A Na,55
480,Huyện Lắk,55
481,Huyện Cư Kuin,55
482,Thành phố Gia Nghĩa,56
483,Huyện Đăk Glong,56
484,Huyện Cư Jút,56
485,Huyện Đắk Mil,56
486,Huyện Krông Nô,56
487,Huyện Đắk Song,56
488,Huyện Đắk R'Lấp,56
489,Huyện Tuy Đức,56
490,Thành phố Đà Lạt,57
491,Thành phố Bảo Lộc,57
492,Huyện Đam Rông,57
493,Huyện Lạc Dương,57
494,Huyện Lâm Hà,57
495,Huyện Đơn Dương,57
496,Huyện Đức Trọng,57
497,Huyện Di Linh,57
498,Huyện Đạ Huoai,57
499,Huyện Đạ Tẻh,57
500,Huyện Cát Tiên,57
692,Huyện Bảo Lâm,57
501,Thị xã Phước Long,58
502,Thành phố Đồng Xoài,58
503,Thị xã Bình Long,58
504,Huyện Bù Gia Mập,58
505,Huyện Lộc Ninh,58
506,Huyện Bù Đốp,58
507,Huyện Hớn Quản,58
508,Huyện Đồng Phú,58
509,Huyện Bù Đăng,58
510,Huyện Chơn Thành,58
511,Huyện Phú Riềng,58
512,Thành phố Tây Ninh,59
513,Huyện Tân Biên,59
514,Huyện Tân Châu,59
515,Huyện Dương Minh Châu,59
516,Huyện Châu Thành,59
517,Thị xã Hòa Thành,59
518,Huyện Gò Dầu,59
519,Huyện Bến Cầu,59
520,Thị xã Trảng Bàng,59
521,Thành phố Thủ Dầu Một,60
522,Huyện Bàu Bàng,60
523,Huyện Dầu Tiếng,60
524,Thị xã Bến Cát,60
525,Huyện Phú Giáo,60
526,Thị xã Tân Uyên,60
527,Thành phố Dĩ An,60
528,Thành phố Thuận An,60
529,Huyện Bắc Tân Uyên,60
530,Thành phố Biên Hòa,61
531,Thành phố Long Khánh,61
532,Huyện Tân Phú,61
533,Huyện Vĩnh Cửu,61
534,Huyện Định Quán,61
535,Huyện Trảng Bom,61
536,Huyện Thống Nhất,61
537,Huyện Cẩm Mỹ,61
538,Huyện Long Thành,61
539,Huyện Xuân Lộc,61
540,Huyện Nhơn Trạch,61
541,Thành phố Vũng Tàu,62
542,Thành phố Bà Rịa,62
543,Huyện Châu Đức,62
544,Huyện Xuyên Mộc,62
545,Huyện Long Điền,62
546,Huyện Đất Đỏ,62
547,Thị xã Phú Mỹ,62
548,Huyện Côn Đảo,62
549,Quận 1,63
550,Quận 12,63
551,Quận Gò Vấp,63
552,Quận Bình Thạnh,63
553,Quận Tân Bình,63
554,Quận Tân Phú,63
555,Quận Phú Nhuận,63
556,Thành phố Thủ Đức,63
557,Quận 3,63
558,Quận 10,63
559,Quận 11,63
560,Quận 4,63
561,Quận 5,63
562,Quận 6,63
563,Quận 8,63
564,Quận Bình Tân,63
565,Quận 7,63
566,Huyện Củ Chi,63
567,Huyện Hóc Môn,63
568,Huyện Bình Chánh,63
569,Huyện Nhà Bè,63
570,Huyện Cần Giờ,63
